period,generation,solution_rank,lambda_h,lambda_k,lambda,tip,lambda_k_branch
4,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
4,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
4,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
4,-1,12,0.0,0.0,0.5,0.5,kperiod_sum
4,-1,13,0.0,0.0,0.5,0.5,kperiod_sum
4,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
4,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
4,-1,16,0.0,0.0,0.5,0.5,kperiod_sum
4,-1,17,0.0,0.0,0.5,0.5,kperiod_sum
4,-1,18,0.0,0.0,0.5,0.5,kperiod_sum
4,-1,19,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,5,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,6,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,7,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,8,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,12,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,13,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,16,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,17,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,18,0.0,0.0,0.5,0.5,kperiod_sum
5,-1,19,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,5,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,6,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,7,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,8,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,12,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,13,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,16,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,17,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,18,0.0,0.0,0.5,0.5,kperiod_sum
6,-1,19,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,5,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,6,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,7,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,8,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,12,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,13,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,16,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,17,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,18,0.0,0.0,0.5,0.5,kperiod_sum
7,-1,19,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,5,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,6,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,7,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,8,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,12,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,13,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,16,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,17,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,18,0.0,0.0,0.5,0.5,kperiod_sum
8,-1,19,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,5,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,6,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,7,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,8,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,12,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,13,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,16,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,17,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,18,0.0,0.0,0.5,0.5,kperiod_sum
9,-1,19,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,5,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,6,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,7,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,8,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,12,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,13,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,16,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,17,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,18,0.0,0.0,0.5,0.5,kperiod_sum
10,-1,19,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,5,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,6,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,7,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,8,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,12,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,13,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,16,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,17,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,18,0.0,0.0,0.5,0.5,kperiod_sum
11,-1,19,0.0,0.0,0.5,0.5,kperiod_sum
