file,n_rows,first_date,last_date,n_zero_close,n_nan_close,n_negative_close,has_dissolution_event,dissolution_first_zero_date,continuous_trades,drop_reason
table (79).csv,1504,2006-11-20,2012-11-20,0,0,0,False,,True,
table (8).csv,1533,2006-11-20,2012-11-20,0,0,0,False,,True,
table (80).csv,1513,2006-11-20,2012-11-20,0,0,0,False,,True,
table (81).csv,1503,2006-11-20,2012-11-20,0,0,0,False,,True,
table (82).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (83).csv,1533,2006-11-20,2012-11-20,0,0,0,False,,True,
table (84).csv,1503,2006-11-20,2012-11-20,0,0,0,False,,True,
table (85).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (86).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (87).csv,1522,2006-11-20,2012-11-20,0,0,0,False,,True,
table (88).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (89).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (9).csv,1522,2006-11-20,2012-11-20,0,0,0,False,,True,
table (90).csv,1533,2006-11-20,2012-11-20,0,0,0,False,,True,
table (91).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (92).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (93).csv,361,2011-07-01,2012-11-20,0,0,0,False,,False,listed_mid_window first_date=2011-07-01 (bd_gap=1204 > 5 from window_start)
table (94).csv,1526,2006-11-20,2012-11-20,0,0,0,False,,True,
table (95).csv,1506,2006-11-20,2012-11-20,0,0,0,False,,True,
table (96).csv,1528,2006-11-20,2012-11-20,0,0,0,False,,True,
table (97).csv,1528,2006-11-20,2012-11-20,0,0,0,False,,True,
